@RELATION fullstop

             @ATTRIBUTE three_before_numeric {TRUE, FALSE}

             @ATTRIBUTE two_before_type {fullstop, numeric, other}

             @ATTRIBUTE two_after_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_after_type {lower, capital_common, np, comma, fullstop, numeric, quotes, other}

             @ATTRIBUTE one_before_type {title, abbrev, internal, quotes, time, other}

             @ATTRIBUTE one_before_contains_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_before_capitals integer

             @ATTRIBUTE one_after_length integer

             @ATTRIBUTE one_before_length integer

             @ATTRIBUTE words_since_EOS integer

             @ATTRIBUTE words_until_EOS integer

             @ATTRIBUTE spaces_following integer

             @ATTRIBUTE class {EOS, NEOS}

             @DATA
FALSE,other,FALSE,capital_common,other,FALSE,0,3,3,58,204,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,3,31,9,2,EOS
FALSE,other,FALSE,other,other,FALSE,1,7,1,18,4,1,NEOS
FALSE,other,FALSE,np,other,FALSE,0,3,6,72,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,7,69,26,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,7,6,35,2,EOS
FALSE,numeric,TRUE,other,other,FALSE,0,1,1,220,196,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,5,61,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,9,9,0,0,EOS
FALSE,other,FALSE,capital_common,quotes,FALSE,0,2,2,44,54,2,EOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,72,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,6,18,38,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,5,29,0,0,EOS
FALSE,other,FALSE,other,other,FALSE,1,6,1,32,19,2,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,7,473,26,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,8,5,14,192,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,4,14,42,65,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,4,15,5,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,3,25,119,2,EOS
