@RELATION fullstop

             @ATTRIBUTE length integer 

             @ATTRIBUTE dist_BOS integer 

             @ATTRIBUTE init_spaces integer 

             @ATTRIBUTE init_tabs integer 

             @ATTRIBUTE class {NNHEAD, QUOTED, SIG, TABLE, GRAPHIC, HEADL, ADDRESS, ITEM, PTEXT}

             @DATA
45,15,0,0,NNHEAD
43,15,0,0,NNHEAD
45,15,0,0,NNHEAD
61,15,0,0,NNHEAD
37,15,0,0,NNHEAD
28,15,0,0,NNHEAD
30,15,0,0,NNHEAD
27,15,0,0,NNHEAD
19,15,0,0,NNHEAD
40,15,0,0,NNHEAD
9,15,0,0,NNHEAD
67,15,0,0,NNHEAD
40,15,0,0,NNHEAD
70,1,9,0,HEADL
55,2,22,0,HEADL
77,6,0,0,PTEXT
79,6,0,0,PTEXT
78,6,0,0,PTEXT
77,6,0,0,PTEXT
77,6,0,0,PTEXT
26,6,0,0,PTEXT
42,21,0,0,PTEXT
33,21,0,0,PTEXT
20,21,0,0,PTEXT
9,21,0,0,PTEXT
41,21,0,0,PTEXT
16,21,0,0,PTEXT
22,21,0,0,PTEXT
46,21,0,0,PTEXT
72,21,0,0,PTEXT
33,21,0,0,PTEXT
11,21,0,0,PTEXT
22,21,0,0,PTEXT
40,21,0,0,PTEXT
12,21,0,0,PTEXT
25,21,0,0,PTEXT
79,25,0,0,PTEXT
76,25,0,0,PTEXT
79,25,0,0,PTEXT
43,25,0,0,PTEXT
79,27,0,0,PTEXT
52,27,0,0,PTEXT
75,30,0,0,PTEXT
69,30,0,0,PTEXT
78,30,0,0,PTEXT
79,33,0,0,PTEXT
75,33,0,0,PTEXT
61,33,0,0,PTEXT
76,35,0,0,PTEXT
42,35,0,0,PTEXT
25,41,0,1,ADDRESS
26,41,0,1,ADDRESS
15,41,0,1,ADDRESS
38,41,0,1,ADDRESS
27,41,0,1,ADDRESS
15,41,0,1,ADDRESS
73,42,0,0,PTEXT
73,15,0,0,NNHEAD
31,15,0,0,NNHEAD
45,15,0,0,NNHEAD
43,15,0,0,NNHEAD
45,15,0,0,NNHEAD
44,15,0,0,NNHEAD
37,15,0,0,NNHEAD
28,15,0,0,NNHEAD
30,15,0,0,NNHEAD
31,15,0,0,NNHEAD
19,15,0,0,NNHEAD
40,15,0,0,NNHEAD
9,15,0,0,NNHEAD
67,15,0,0,NNHEAD
40,15,0,0,NNHEAD
53,1,18,0,HEADL
47,5,0,1,ADDRESS
45,5,0,1,ADDRESS
46,5,0,1,ADDRESS
44,5,0,1,ADDRESS
79,22,0,0,PTEXT
73,22,0,0,PTEXT
72,22,0,0,PTEXT
77,22,0,0,PTEXT
78,22,0,0,PTEXT
77,22,0,0,PTEXT
78,22,0,0,PTEXT
78,22,0,0,PTEXT
73,22,0,0,PTEXT
75,22,0,0,PTEXT
71,22,0,0,PTEXT
68,22,0,0,PTEXT
74,22,0,0,PTEXT
77,22,0,0,PTEXT
71,22,0,0,PTEXT
72,22,0,0,PTEXT
40,22,0,0,PTEXT
75,27,0,0,PTEXT
73,27,0,0,PTEXT
76,27,0,0,PTEXT
73,27,0,0,PTEXT
75,27,0,0,PTEXT
77,30,0,0,PTEXT
79,30,0,0,PTEXT
44,30,0,0,PTEXT
71,13,0,0,NNHEAD
31,13,0,0,NNHEAD
43,13,0,0,NNHEAD
51,13,0,0,NNHEAD
26,13,0,0,NNHEAD
20,13,0,0,NNHEAD
37,13,0,0,NNHEAD
28,13,0,0,NNHEAD
30,13,0,0,NNHEAD
19,13,0,0,NNHEAD
40,13,0,0,NNHEAD
9,13,0,0,NNHEAD
38,13,0,0,NNHEAD
48,1,35,0,HEADL
46,20,0,2,GRAPHIC
61,20,22,0,GRAPHIC
48,20,0,2,GRAPHIC
49,20,0,2,GRAPHIC
50,20,0,2,GRAPHIC
52,20,0,2,GRAPHIC
52,20,0,2,GRAPHIC
53,20,0,2,GRAPHIC
62,20,0,1,GRAPHIC
69,20,14,0,GRAPHIC
70,20,13,0,GRAPHIC
70,20,13,0,GRAPHIC
62,20,0,1,GRAPHIC
61,20,0,1,GRAPHIC
67,20,16,0,GRAPHIC
52,20,0,2,GRAPHIC
51,20,0,2,GRAPHIC
25,20,0,3,GRAPHIC
16,20,0,4,GRAPHIC
43,20,40,0,GRAPHIC
47,7,3,0,GRAPHIC
49,7,2,0,GRAPHIC
78,7,1,0,GRAPHIC
75,7,1,0,GRAPHIC
74,7,1,0,GRAPHIC
76,7,1,0,GRAPHIC
47,7,2,0,GRAPHIC
76,13,0,0,NNHEAD
31,13,0,0,NNHEAD
48,13,0,0,NNHEAD
46,13,0,0,NNHEAD
59,13,0,0,NNHEAD
47,13,0,0,NNHEAD
37,13,0,0,NNHEAD
28,13,0,0,NNHEAD
30,13,0,0,NNHEAD
28,13,0,0,NNHEAD
9,13,0,0,NNHEAD
84,13,0,0,NNHEAD
37,13,0,0,NNHEAD
35,1,0,2,HEADL
18,2,0,3,HEADL
24,3,0,3,HEADL
37,5,0,2,HEADL
23,5,0,3,HEADL
57,1,1,0,HEADL
28,3,0,2,HEADL
29,3,0,2,HEADL
73,5,0,0,PTEXT
71,5,0,0,PTEXT
75,5,0,0,PTEXT
77,5,0,0,PTEXT
7,5,0,0,PTEXT
69,9,0,0,PTEXT
69,9,0,0,PTEXT
68,9,0,0,PTEXT
68,9,0,0,PTEXT
75,16,0,0,PTEXT
78,16,0,0,PTEXT
78,16,0,0,PTEXT
79,16,0,0,PTEXT
76,16,0,0,PTEXT
73,16,0,0,PTEXT
69,16,0,0,PTEXT
74,19,0,0,PTEXT
71,19,0,0,PTEXT
63,19,0,0,PTEXT
74,25,0,0,PTEXT
77,25,0,0,PTEXT
76,25,0,0,PTEXT
73,25,0,0,PTEXT
69,25,0,0,PTEXT
32,25,0,0,PTEXT
2,30,0,0,SIG
73,30,5,0,SIG
73,30,9,0,SIG
73,30,9,0,SIG
58,30,0,0,SIG
73,15,0,0,NNHEAD
31,15,0,0,NNHEAD
45,15,0,0,NNHEAD
53,15,0,0,NNHEAD
45,15,0,0,NNHEAD
55,15,0,0,NNHEAD
37,15,0,0,NNHEAD
28,15,0,0,NNHEAD
30,15,0,0,NNHEAD
31,15,0,0,NNHEAD
19,15,0,0,NNHEAD
40,15,0,0,NNHEAD
9,15,0,0,NNHEAD
66,15,0,0,NNHEAD
40,15,0,0,NNHEAD
52,3,26,0,HEADL
47,3,31,0,HEADL
52,3,26,0,HEADL
75,8,0,0,PTEXT
76,8,0,0,PTEXT
76,8,0,0,PTEXT
73,8,0,0,PTEXT
77,8,0,0,PTEXT
77,8,0,0,PTEXT
76,8,0,0,PTEXT
23,8,0,0,PTEXT
79,10,0,0,PTEXT
4,10,0,0,PTEXT
50,16,26,0,ADDRESS
43,16,26,0,ADDRESS
48,16,26,0,ADDRESS
50,16,26,0,ADDRESS
47,16,26,0,ADDRESS
45,16,26,0,ADDRESS
75,19,0,0,PTEXT
64,19,0,0,PTEXT
41,19,0,0,PTEXT
73,15,0,0,NNHEAD
31,15,0,0,NNHEAD
45,15,0,0,NNHEAD
53,15,0,0,NNHEAD
45,15,0,0,NNHEAD
63,15,0,0,NNHEAD
37,15,0,0,NNHEAD
28,15,0,0,NNHEAD
30,15,0,0,NNHEAD
31,15,0,0,NNHEAD
19,15,0,0,NNHEAD
40,15,0,0,NNHEAD
9,15,0,0,NNHEAD
66,15,0,0,NNHEAD
40,15,0,0,NNHEAD
47,1,31,0,HEADL
53,3,25,0,HEADL
53,3,26,0,HEADL
75,7,0,0,PTEXT
79,7,0,0,PTEXT
77,7,0,0,PTEXT
76,7,0,0,PTEXT
79,7,0,0,PTEXT
78,7,0,0,PTEXT
25,7,0,0,PTEXT
74,9,0,0,PTEXT
77,9,0,0,PTEXT
77,13,0,0,PTEXT
73,13,0,0,PTEXT
75,13,0,0,PTEXT
27,13,0,0,PTEXT
77,20,0,0,PTEXT
78,20,0,0,PTEXT
77,20,0,0,PTEXT
78,20,0,0,PTEXT
78,20,0,0,PTEXT
75,20,0,0,PTEXT
70,20,0,0,PTEXT
77,22,0,0,PTEXT
53,22,0,0,PTEXT
42,27,17,0,ADDRESS
44,27,17,0,ADDRESS
33,27,17,0,ADDRESS
32,27,17,0,ADDRESS
38,27,17,0,ADDRESS
78,2,0,0,PTEXT
54,2,0,0,PTEXT
73,15,0,0,NNHEAD
31,15,0,0,NNHEAD
45,15,0,0,NNHEAD
53,15,0,0,NNHEAD
45,15,0,0,NNHEAD
54,15,0,0,NNHEAD
37,15,0,0,NNHEAD
28,15,0,0,NNHEAD
30,15,0,0,NNHEAD
31,15,0,0,NNHEAD
19,15,0,0,NNHEAD
40,15,0,0,NNHEAD
9,15,0,0,NNHEAD
66,15,0,0,NNHEAD
40,15,0,0,NNHEAD
58,2,22,0,HEADL
54,2,27,0,HEADL
53,4,28,0,HEADL
53,4,28,0,HEADL
74,10,0,0,PTEXT
77,10,0,0,PTEXT
77,10,0,0,PTEXT
74,10,0,0,PTEXT
77,10,0,0,PTEXT
75,10,0,0,PTEXT
75,10,0,0,PTEXT
79,10,0,0,PTEXT
77,10,0,0,PTEXT
17,10,0,0,PTEXT
79,17,0,0,PTEXT
78,17,0,0,PTEXT
78,17,0,0,PTEXT
77,17,0,0,PTEXT
78,17,0,0,PTEXT
79,17,0,0,PTEXT
23,17,0,0,PTEXT
76,21,0,0,PTEXT
78,21,0,0,PTEXT
76,21,0,0,PTEXT
57,21,0,0,PTEXT
78,23,0,0,PTEXT
3,23,0,0,PTEXT
50,27,20,0,ADDRESS
47,27,20,0,ADDRESS
45,27,20,0,ADDRESS
42,27,20,0,ADDRESS
78,29,0,0,PTEXT
49,29,0,0,PTEXT
74,15,0,0,NNHEAD
31,15,0,0,NNHEAD
46,15,0,0,NNHEAD
46,15,0,0,NNHEAD
40,15,0,0,NNHEAD
25,15,0,0,NNHEAD
37,15,0,0,NNHEAD
28,15,0,0,NNHEAD
30,15,0,0,NNHEAD
27,15,0,0,NNHEAD
19,15,0,0,NNHEAD
40,15,0,0,NNHEAD
9,15,0,0,NNHEAD
61,15,0,0,NNHEAD
41,15,0,0,NNHEAD
15,1,0,2,HEADL
14,8,0,2,GRAPHIC
19,8,0,2,GRAPHIC
19,8,0,2,GRAPHIC
19,8,0,2,GRAPHIC
17,8,0,2,GRAPHIC
15,8,0,2,GRAPHIC
14,8,0,2,GRAPHIC
32,9,16,0,HEADL
15,1,0,2,HEADL
38,6,14,0,HEADL
38,6,13,0,HEADL
31,6,19,0,HEADL
30,6,18,0,HEADL
36,6,15,0,HEADL
20,3,0,2,HEADL
12,3,0,2,HEADL
17,3,0,2,HEADL
30,7,18,0,HEADL
28,7,19,0,HEADL
29,7,19,0,HEADL
28,7,19,0,HEADL
55,17,0,0,NNHEAD
31,17,0,0,NNHEAD
27,17,0,0,NNHEAD
49,17,0,0,NNHEAD
26,17,0,0,NNHEAD
59,17,0,0,NNHEAD
50,17,0,0,NNHEAD
28,17,0,0,NNHEAD
76,17,0,0,NNHEAD
30,17,0,0,NNHEAD
58,17,0,0,NNHEAD
27,17,0,0,NNHEAD
19,17,0,0,NNHEAD
40,17,0,0,NNHEAD
9,17,0,0,NNHEAD
37,17,0,0,NNHEAD
71,17,0,0,NNHEAD
101,24,0,0,QUOTED
71,24,0,0,QUOTED
68,24,0,0,QUOTED
69,24,0,0,QUOTED
72,24,0,0,QUOTED
70,24,0,0,QUOTED
21,24,0,0,QUOTED
64,28,4,0,PTEXT
67,28,0,0,PTEXT
65,28,0,0,PTEXT
67,28,0,0,PTEXT
2,31,0,0,SIG
76,31,1,0,SIG
